amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.47,25.0,-23.61,41613,1.53,5,Very High,0.16266076928646772,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,0.95,0.325,0.35,0.3125,0.95,57.8125
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.55,16.0,-33.15,49046,1.52,5,Moderately High,0.9262873467360144,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,0.55,0.65,0.675,0.3625,0.475,56.43749999999999
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,1.5,15.0,-21.89,2571,1.41,4,Moderately High,0.6488787755249532,0.1625385327998104,0.04189646272811977,-0.1982565826298267,0.575,0.525,0.525,0.55,0.675,55.875
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,1.38,19.0,-32.22,18792,0.78,4,High,0.30061192104254786,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.675,0.35,0.375,0.775,0.725,55.37500000000001
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.45,14.0,-33.5,10611,0.92,4,Moderate,0.7757902498211205,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.425,0.575,0.625,0.675,0.45,54.25
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,1.4,25.0,-14.45,21545,1.38,4,Very High,-0.0759735711747892,0.048015953637759554,-0.066951174639292,-0.5167775370852656,0.925,0.2,0.1,0.6,0.975,53.5
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.29,14.0,-24.43,1231,0.66,3,Moderate,0.9532794968660104,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.175,0.725,0.65,0.925,0.275,53.0
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.25,14.0,-15.07,23500,1.6,5,Moderate,1.0272133278753695,0.21399784776051212,0.02108631625012803,-0.11291596329323073,0.475,0.8,0.725,0.1125,0.225,52.6875
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.48,14.0,-18.14,39475,0.72,3,Moderate,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.35,0.5,0.475,0.8875,0.65,52.31249999999999
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.37,16.0,-12.14,17912,1.64,5,Moderately High,0.6195175900829828,0.16211256794033255,0.016682689437770827,-0.21539827112383225,0.7,0.475,0.5,0.0375,0.75,50.93749999999999
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.27,19.0,-21.92,47469,1.56,4,High,0.07599984804658923,0.0780443887615508,0.01805687420811816,-0.24003511326274884,0.85,0.275,0.3,0.2,0.825,49.625
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,1.12,14.0,-25.91,36022,1.42,4,Moderate,0.7979728586052847,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,0.2,0.6,0.6,0.525,0.35,44.37499999999999
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.54,14.0,-17.4,15866,0.75,4,Moderate,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.3,0.3,0.325,0.825,0.775,43.125
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.24,13.0,-26.75,20284,0.89,5,Moderate,0.664856998549062,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.225,0.55,0.45,0.7,0.25,42.50000000000001
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.21,19.0,-13.43,41728,1.51,5,High,-0.20583160785470309,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,0.725,0.125,0.025,0.4125,0.875,40.3125
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,1.29,13.0,-24.42,7350,1.57,4,Moderate,0.8170993373494367,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,0.275,0.625,0.55,0.175,0.175,39.25
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.63,14.0,-21.7,41828,1.54,5,Moderate,0.46403744922047774,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,0.4,0.4,0.425,0.2625,0.4,38.4375
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.34,14.0,-17.86,35585,1.59,3,Moderate,0.4942725378672349,0.13042924450705445,0.036356399022199795,-0.1757361416468729,0.325,0.425,0.4,0.15,0.6,36.625
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,-0.20151706755966936,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,0.625,0.15,0.05,0.225,0.85,35.37500000000001
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,10.37,0.5,-2.62,39116,0.74,5,Low,0.4957233929533123,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.15,0.45,0.25,0.85,0.025,33.75
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,9.7,0.5,-3.81,27623,0.6,3,Low,-0.08874729621557288,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.1,0.175,0.225,0.95,0.05,26.625
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.25,14.0,-27.54,25803,1.64,4,Moderate,0.03078485095458594,0.0689952982167755,0.009730745001153637,-0.1440161790933726,0.25,0.25,0.275,0.0375,0.375,23.5625
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,2.38,4.0,-2.23,30030,0.55,4,Low,-0.35662950751436784,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.05,0.075,0.15,1.0,0.15,22.875
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,2.79,4.0,-6.01,27953,0.56,3,Low,-0.5670947928476846,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.125,0.05,0.075,0.975,0.1,22.125
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,2.11,4.0,-2.3,24101,0.77,5,Low,-0.22657538662791576,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.075,0.1,0.175,0.8,0.125,21.5
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,8.76,0.5,-3.66,38995,0.79,5,Low,-0.8155673679088263,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.025,0.025,0.2,0.75,0.075,17.375
